ticker,company_name,data_available,has_extract_adapter
3741,セック,True,True
3753,フライト,False,True
3762,テクマト,True,True
3763,プロシップ,True,True
3768,リスクモンスター,True,True
3769,ＧＭＯＰＧ,False,True
3771,システムリサーチ,True,True
3774,ＩＩＪ,True,True
3777,Ｇ－環境フレンドリー,False,True
377A,エージェントＩＧＨＤ,False,True
3796,いい生活,False,True
3798,ＵＬＳグループ,False,True
3799,キーウェア,True,True
3817,ＳＲＡＨＤ,True,True
3825,ＲＥＭＩＸ,False,True
3826,ＳＩ,False,True
3835,ｅＢＡＳＥ,False,True
3836,アバントグループ,True,True
3837,アドソル日進,True,True
3842,ネクストジェン,True,True
3847,パシフィックＳ,False,True
3849,Ａ－ＮＴＬ,True,True
3850,ＮＴＴＤＩＭ,False,True
3878,巴川コーポ,False,True
389A,Ｐ－八光オート,True,True
3900,Ｇ－クラウドワークス,False,True
3902,ＭＤＶ,False,True
3905,Ｇ－データセクション,False,True
3910,エムケイシステム,False,True
3913,Ｇ－ＧｒｅｅｎＢｅｅ,False,True
3915,テラスカイ,True,True
3916,ＤＩＴ,False,True
3918,ＰＣＩＨＤ,False,True
3923,ラクス,False,True
3925,ダブルスタンダード,False,True
3927,Ｇ－フーバーブレイン,False,True
3928,マイネット,False,True
3929,Ｇ－ソーシャルワイヤ,False,True
3930,Ｇ－はてな,False,True
3931,Ｇ－バリューゴルフ,False,True
3937,Ｕｂｉｃｏｍ,False,True
3940,ノムラシステム,False,True
3946,トーモク,False,True
3951,朝日印刷,False,True
3962,チェンジＨＤ,True,True
3964,オークネット,False,True
3967,Ｇ－エルテス,False,True
3968,セグエ,True,True
3974,ＳＣＡＴ,False,True
3976,Ｇ－シャノン,False,True
3977,Ａ－フュージョン,False,True
3983,オロ,False,True
3986,Ｇ－ビーブレイク,False,True
3987,Ｇ－エコモット,False,True
3988,ＳＹＳＨＤ,False,True
3997,トレードワークス,False,True
4012,アクシス,True,True
4015,Ｇ－ペイクラウドＨＤ,False,True
4016,ＭＩＴＨＤ,False,True
4017,Ｇ－クリーマ,False,True
4019,Ｇ－スタメン,False,True
402A,Ｇ－アクセルスペース,False,True
4042,東ソー,False,True
4051,ＧＭＯ－ＦＧ,False,True
4052,Ｇ－フィーチャ,False,True
4053,サンアスタリスク,False,True
4055,Ｇ－ティアンドエスＧ,False,True
4057,Ｇ－インタファクトリ,False,True
4058,Ｇ－トヨクモ,False,True
4060,Ｇ－ｒａｋｕｍｏ,False,True
4062,イビデン,False,True
4068,Ｇ－ベイシス,False,True
4069,Ｇ－ＢｌｕｅＭｅｍｅ,True,True
4073,Ｇ－ジィ・シィ企画,False,True
4078,堺化学,False,True
407A,ＵＮＩＣＯＮ　ＨＤ,True,True
4100,戸田工,False,True
4112,保土谷化,False,True
4125,三和油化工業,False,True
4166,Ｇ－かっこ,False,True
4169,Ｇ－エネチェンジ,False,True
4173,Ｇ－ＷＡＣＵＬ,False,True
4174,アピリッツ,False,True
4176,Ｇ－ココナラ,False,True
4177,Ｇ－ｉ－ｐｌｕｇ,True,True
4179,Ｇ－ジーネクスト,False,True
4194,ビジョナル,False,True
4202,ダイセル,False,True
4204,積水化,False,True
4212,積水樹脂,False,True
421A,Ｇ－ムービン,False,True
4221,大倉工,False,True
4238,ミライアル,False,True
4241,アテクト,False,True
4245,ダイキアクシス,False,True
4247,ポバール興業,False,True
4248,竹本容器,True,True
4258,Ｇ－網屋,False,True
4262,Ｇ－ニフティライフ,False,True
4263,Ｇ－サスメド,False,True
4264,Ｇ－セキュア,False,True
4270,Ｇ－ＢｅｅＸ,False,True
4272,日化薬,False,True
4275,カーリット,False,True
4284,ソルクシーズ,True,True
4288,アズジェント,False,True
4299,ハイマックス,True,True
4310,ＤＩ,False,True
4319,ＴＡＣ,False,True
4320,ＣＥＨＤ,True,True
4331,Ｔ＆Ｇニーズ,False,True
4333,東邦システム,True,True
4337,ぴあ,False,True
4341,西菱電機,False,True
4345,シーティーエス,False,True
4346,ＮＥＸＹＺ．Ｇ,False,True
4347,ブロードメディア,False,True
4350,メディシス,False,True
4351,山田債権,False,True
436A,Ｇ－サイバーＳＯＬ,False,True
4371,Ｇ－ＣＣＴ,True,True
4372,Ｇ－ユミルリンク,False,True
4374,Ｇ－ロボペイ,False,True
4376,Ｇ－くふうカンパニー,False,True
4381,Ｇ－ビープラッツ,False,True
4382,ＨＥＲＯＺ,False,True
4385,メルカリ,False,True
4387,Ｇ－ＺＵＵ,False,True
4389,Ｇ－プロパティＤＢＫ,False,True
438A,Ｇ－インフキュリオン,False,True
4392,ＦＩＧ,False,True
4394,Ｇ－エクスモーション,True,True
4398,ＢＢＳｅｃ,False,True
4413,ボードルア,False,True
4415,Ｇ－ブロードエンター,False,True
4417,Ｇ－グローバルセキュ,False,True
4418,Ｇ－ＪＤＳＣ,False,True
441A,Ｇ－ＮＥ,False,True
4422,Ｇ－ＶＡＬＵＥＮＥＸ,True,True
4425,Ｇ－Ｋｕｄａｎ,False,True
4426,Ｐ－パスロジ,False,True
4434,サーバーワークス,False,True
4435,Ｇ－カオナビ,False,True
4441,トビラシステムズ,False,True
4442,Ｇ－バルテスＨＤ,False,True
4444,Ｇ－インフォネット,True,True
4445,Ｇ－リビンＴ,False,True
4446,Ｌｉｎｋ－Ｕグループ,False,True
4447,Ｇ－ＰＢシステムズ,True,True
4449,ギフティ,False,True
4462,石原ケミカル,False,True
4463,日華化学,False,True
4479,Ｇ－マクアケ,False,True
4483,ＪＭＤＣ,False,True
4484,Ｇ－ランサーズ,False,True
4492,ゼネテック,False,True
4493,Ｇ－サイバーセキュリ,False,True
4496,Ｇ－コマースワン,False,True
4498,Ｇ－サイバートラスト,False,True
4524,仁丹,False,True
4539,日ケミファ,False,True
4549,栄研化,False,True
4565,ネクセラファーマ,False,True
4593,Ｇ－ヘリオス,False,True
460A,Ｇ－ＢＲＡＮＵ,False,True
4620,藤倉化,False,True
4626,太陽ＨＤ,False,True
462A,Ｇ－ファンディーノ,False,True
4642,オリジナル設,True,True
464A,Ｇ－ＱＰＳＨＤ,False,True
4651,サニックスＨＤ,True,True
4657,環境管理,True,True
4659,エイジス,False,True
4661,ＯＬＣ,False,True
4667,アイサンテクノロ,True,True
4673,川崎地質,True,True
4681,リゾートトラ,False,True
4684,オービック,False,True
4687,ＴＤＣソフト,True,True
4707,キタック,True,True
4709,ＩＤホールディングス,True,True
4719,アルファシステムズ,True,True
4722,フューチャー,True,True
4725,ＣＡＣＨＤ,True,True
4728,トーセ,False,True
4736,日本ラッド,False,True
4743,アイティフォー,True,True
4761,さくらＫＣＳ,True,True
4768,大塚商会,False,True
4771,エフアンドエム,False,True
4777,ガーラ,True,True
478A,Ｇ－フツパー,True,True
4792,山田コンサル,False,True
480A,Ｇ－リブコンサル,True,True
4811,Ｇ－ドリーム・アーツ,False,True
4812,電通総研,True,True
4813,ＡＣＣＥＳＳ,False,True
4819,デジタルガレージ,False,True
4828,ビーエンジ,True,True
4832,ＪＦＥ－ＳＩ,True,True
4840,トライアイズ,True,True
4847,ＩＷＩ,True,True
485A,Ｇ－パワーエックス,True,True
4875,メディシノバ,False,True
4918,アイビー,False,True
4932,アルマード,False,True
4935,リベルタ,False,True
4937,Ｇ－Ｗａｑｏｏ,False,True
4975,ＪＣＵ,True,True
4992,北興化,False,True
4996,クミアイ化,False,True
5016,ＪＸ金属,False,True
5019,出光興産,False,True
5026,Ｇ－トリプルアイズ,False,True
5032,ＡＮＹＣＯＬＯＲ,False,True
5038,Ｇ－ｅＷｅＬＬ,False,True
5070,Ｇ－ドラフト,True,True
5071,ヴィス,True,True
5074,テスホールディングス,True,True
5075,アップコン,True,True
5076,インフロニアＨＤ,True,True
5078,セレコーポレーション,False,True
5079,ノバック,True,True
5129,Ｇ－ＦＩＸＥＲ,False,True
5131,Ｇ－リンカーズ,False,True
5133,テリロジーＨＤ,True,True
5134,Ｇ－ＰＯＰＥＲ,False,True
5137,Ｇ－スマートドライブ,False,True
5162,朝日ラバー,False,True
5199,不二ラテ,True,True
5210,日山村硝,False,True
5216,倉元,False,True
5237,ノザワ,True,True
5242,Ｇ－アイズ,False,True
5243,Ｇ－ｎｏｔｅ,False,True
5248,Ｇ－テクノロジーズ,True,True
5250,ＧＭＯプライム,False,True
5253,Ｇ－カバー,False,True
5254,Ｇ－Ａｒｅｎｔ,False,True
5255,Ｇ－モンスターラボ,True,True
5256,Ｇ－Ｆｕｓｉｃ,False,True
5257,ノバシステム,False,True
5258,Ｇ－ＴＭＮ,False,True
5262,日ヒューム,False,True
5284,ヤマウＨＤ,False,True
5288,アジアパイルＨＤ,False,True
5302,日カーボン,False,True
5310,東洋炭素,True,True
5343,ニッコー,True,True
5351,品川リフラ,False,True
5352,黒崎播磨,False,True
5393,ニチアス,False,True
5406,神戸鋼,True,True
5411,ＪＦＥ,False,True
5444,大和工,False,True
5461,中部鋼鈑,False,True
5463,丸一鋼管,False,True
5471,大同特鋼,False,True
5527,Ｇ－ｐｒｏｐｅｔｅｃ,False,True
5532,Ｇ－リアルゲイト,False,True
5533,エリッツＨＤ,False,True
5563,新日本電工,False,True
5570,Ｇ－ジェノバ,False,True
5572,Ｇ－リッジアイ,False,True
5576,オービーシステム,False,True
5582,Ｇ－グリッド,True,True
5586,Ｇ－ＬａｂｏｒｏＡＩ,True,True
5588,Ｇ－ファーストＡ,False,True
5589,オートサーバー,False,True
5591,Ｇ－ＡＶＩＬＥＮ,False,True
5592,Ｇ－くすりの窓口,False,True
5595,Ｇ－ＱＰＳ研究所,False,True
5609,日鋳造,True,True
5610,大和重,True,True
5616,Ｇ－雨風太陽,False,True
5618,Ｇ－ナイル,False,True
5619,Ｇ－マーソ,False,True
5621,Ｇ－ヒューマンＴ,False,True
562A,Ｐ－寶結,True,True
5631,日製鋼所,True,True
5632,三菱製鋼,False,True
5698,エンビプロＨＤ,False,True
5699,イボキン,True,True
5704,Ｇ－ＪＭＣ,False,True
5714,ＤＯＷＡ,False,True
5715,古河機金,True,True
5741,ＵＡＣＪ,False,True
5742,ＮＩＣ,True,True
5820,三ッ星,False,True
5834,Ｇ－ＳＢＩリーシング,False,True
5842,Ｇ－インテグラル,False,True
5852,アーレスティ,False,True
5870,Ｇ－ナルネット,False,True
5871,ＳＯＬＩＺＥ　ＨＤ,False,True
5889,ＪＥＨ,False,True
5906,エムケー精工,False,True
5911,横河ブＨＤ,True,True
5915,駒井ハルテック,True,True
5918,滝上工,True,True
5921,川岸工,True,True
5923,高田機工,True,True
5929,三和ＨＤ,True,True
5933,アルインコ,False,True
5936,洋シヤター,True,True
