TICKER,COMPANY_NAME,IR_URL_CURRENT,SHIKIHO_HP_URL,MONTHLY_ITEMS,STRUCTURE_SOURCE,HAS_STRUCTURE_JSON
9979,大庄,https://www.daisyo.co.jp/company/ir/index.html,,,,N
1430,ファーストコーポレーション,,,,,N
2503,キリンホールディングス,,,,,N
2659,(株)サンエー,,,,,N
2687,(株)シー・ヴイ・エス・ベイエリア,,,,,N
2726,(株)パルグループホールディングス,,,,,N
2751,(株)テンポスホールディングス,,,,,N
2753,(株)あみやき亭,,,,,N
2769,(株)ヴィレッジヴァンガードコーポレーション,,,,,N
2791,大黒天物産,,,,,N
2914,ＪＴ,,,,,N
3030,(株)ハブ,,,,,N
3045,(株)カワサキ,,,,,N
3048,(株)ビックカメラ,,,,,N
3087,(株)ドトール・日レスホールディングス,,,,,N
3094,(株)スーパーバリュー,,,,,N
3136,,,,,,N
3141,,,,,,N
3148,(株)クリエイトＳＤホールディングス,,,,,N
3266,(株)ファンドクリエーショングループ,,,,,N
3349,(株)コスモス薬品,,,,,N
3543,(株)コメダホールディングス,,,,,N
3544,サツドラホールディングス,,,,,N
3548,(株)バロックジャパンリミテッド,,,,,N
4014,(株)カラダノート,,,,,N
5891,(株)魁力屋,,,,,N
6028,,,,,,N
6083,ＥＲＩホールディングス,,,,,N
6181,タメニー,,,,,N
6191,(株)エアトリ,,,,,N
6301,コマツ,,,,,N
6522,(株)アスタリスク,,,,,N
6547,(株)グリーンズ,,,,,N
6580,(株)ライトアップ,,,,,N
7261,マツダ,,,,,N
7267,ホンダ,,,,,N
7512,イオン北海道,,,,,N
7513,(株)コジマ,,,,,N
7514,(株)ヒマラヤ,,,,,N
7601,(株)ポプラ,,,,,N
7630,(株)壱番屋,,,,,N
8008,４℃ホールディングス,,,,,N
8160,(株)木曽路,,,,,N
8167,(株)リテールパートナーズ,,,,,N
8185,(株)チヨダ,,,,,N
8194,(株)ライフコーポレーション,,,,,N
8217,(株)オークワ,,,,,N
8218,(株)コメリ,,,,,N
8260,(株)井筒屋,,,,,N
8273,(株)イズミ,,,,,N
8276,(株)平和堂,,,,,N
8279,,,,,,N
9262,(株)シルバーライフ,,,,,N
9412,(株)スカパーＪＳＡＴホールディングス,,,,,N
9522,,,,,,N
9601,松竹,,,,,N
9602,東宝,,,,,N
9744,(株)メイテックグループホールディングス,,,,,N
9835,(株)ジュンテンドー,,,,,N
9861,(株)吉野家ホールディングス,,,,,N
9946,ミニストップ,,,,,N
9983,(株)ファーストリテイリング,,,,,N
9993,(株)ヤマザワ,,,,,N
1439,,,,,,N
2026,,,,,,N
2406,,,,,,N
2651,,,,,,N
2675,,,,,,N
3057,,,,,,N
3085,,,,,,N
3098,,,,,,N
3194,,,,,,N
3275,,,,,,N
3960,,,,,,N
7448,,,,,,N
7577,,,,,,N
7618,,,,,,N
7816,,,,,,N
8028,,,,,,N
8168,,,,,,N
8182,,,,,,N
8184,,,,,,N
8287,,,,,,N
8732,,,,,,N
8740,,,,,,N
9062,,,,,,N
9375,,,,,,N
9873,,,,,,N
9945,,,,,,N
9966,,,,,,N
3995,,,,,,N
3999,,,,,,N
4199,ワンダープラネット,,,,,N
5580,(株)プロディライト,,,,,N
6175,,,,,,N
6556,,,,,,N
6752,パナソニック ホールディングス,,,,,N
7086,,,,,,N
7330,,,,,,N
7338,,,,,,N
8000,,,,,,N
9263,,,,,,N
9266,,,,,,N
1379,ホクト,,,,,N
1417,ミライト・ワン,,,,,N
1419,タマホーム,,,,,N
1420,サンヨーホームズ,,,,,N
1721,コムシスホールディングス,,,,,N
1840,土屋ホールディングス,,,,,N
1873,日本ハウスホールディングス,,,,,N
1878,大東建託,,,,,N
1911,住友林業,,,,,N
1925,大和ハウス工業,,,,,N
1928,積水ハウス,,,,,N
1951,エクシオグループ,,,,,N
2163,アルトナー,,,,,N
2267,ヤクルト本社,,,,,N
2294,柿安本店,,,,,N
2317,システナ,,,,,N
2429,ワールドホールディングス,,,,,N
2433,博報堂ＤＹホールディングス,,,,,N
2501,サッポロホールディングス,,,,,N
2502,アサヒグループホールディングス,,,,,N
2587,サントリー食品インターナショナル,,,,,N
2590,ダイドーグループホールディングス,,,,,N
2593,伊藤園,,,,,N
2652,まんだらけ,,,,,N
2653,イオン九州,,,,,N
2664,カワチ薬品,,,,,N
2668,タビオ,,,,,N
2669,カネ美食品,,,,,N
2670,エービーシー・マート,,,,,N
2674,ハードオフコーポレーション,,,,,N
2686,ジーフット,,,,,N
2695,くら寿司,,,,,N
2698,キャンドゥ,,,,,N
2730,エディオン,,,,,N
2742,ハローズ,,,,,N
2752,フジオフードグループ本社,,,,,N
2789,カルラ,,,,,N
2790,ナフコ,,,,,N
2792,ハニーズホールディングス,,,,,N
2818,ピエトロ,,,,,N
2910,ロック・フィールド,,,,,N
2998,クリアル,,,,,N
3010,ポラリス・ホールディングス,,,,,N
3028,アルペン,,,,,N
3032,ゴルフ・ドゥ,,,,,N
3034,クオールホールディングス,,,,,N
3041,ビューティカダンホールディングス,,,,,N
3050,ＤＣＭホールディングス,,,,,N
3053,ペッパーフードサービス,,,,,N
3068,ＷＤＩ,,,,,N
3069,ＪＦＬＡホールディングス,,,,,N
3070,ジェリービーンズグループ,,,,,N
3080,ジェーソン,,,,,N
3083,スターシーズ,,,,,N
3086,Ｊ．フロント　リテイリング,,,,,N
3088,マツキヨココカラ＆カンパニー,,,,,N
3169,ミサワ,,,,,N
3196,ホットランドホールディングス,,,,,N
3197,すかいらーくホールディングス,,,,,N
3222,ユナイテッド・スーパーマーケット・ホールディングス,,,,,N
3224,ゼネラル・オイスター,,,,,N
3329,東和フードサービス,,,,,N
3359,ｃｏｔｔａ,,,,,N
3370,フジタコーポレーション,,,,,N
3382,セブン＆アイ・ホールディングス,,,,,N
3395,サンマルクホールディングス,,,,,N
3397,トリドールホールディングス,,,,,N
3399,丸千代山岡家,,,,,N
3407,旭化成,,,,,N
3457,Ａｎｄ　Ｄｏホールディングス,,,,,N
3561,力の源ホールディングス,,,,,N
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,,,,,N
3591,ワコールホールディングス,,,,,N
3674,オークファン,,,,,N
3678,メディアドゥ,,,,,N
3834,朝日ネット,,,,,N
3901,マークラインズ,,,,,N
3902,メディカル・データ・ビジョン,,,,,N
3910,エムケイシステム,,,,,N
3927,フーバーブレイン,,,,,N
3931,バリューゴルフ,,,,,N
4019,スタメン,,,,,N
4204,積水化学工業,,,,,N
4245,ダイキアクシス,,,,,N
4343,イオンファンタジー,,,,,N
4350,メディカルシステムネットワーク,,,,,N
4393,バンク・オブ・イノベーション,,,,,N
4431,スマレジ,,,,,N
4641,アルプス技研,,,,,N
4659,エイジス,,,,,N
4679,田谷,,,,,N
4755,楽天グループ,,,,,N
4839,ＷＯＷＯＷ,,,,,N
5025,マーキュリー,,,,,N
5259,ＢＢＤイニシアティブ,,,,,N
5938,ＬＩＸＩＬ,,,,,N
6030,アドベンチャー,,,,,N
6195,ホープ,,,,,N
6197,ソラスト,,,,,N
6200,インソース,,,,,N
6264,マルマエ,,,,,N
6412,平和,,,,,N
6537,ＷＡＳＨハウス,,,,,N
6571,キュービーネットホールディングス,,,,,N
6844,新電元工業,,,,,N
7066,ピアズ,,,,,N
7088,フォーラムエンジニアリング,,,,,N
7091,リビングプラットフォーム,,,,,N
7201,日産自動車,,,,,N
7202,いすゞ自動車,,,,,N
7203,トヨタ自動車,,,,,N
7205,日野自動車,,,,,N
7211,三菱自動車工業,,,,,N
7269,スズキ,,,,,N
7270,ＳＵＢＡＲＵ,,,,,N
7345,アイ・パートナーズフィナンシャル,,,,,N
7359,東京通信グループ,,,,,N
7372,デコルテ・ホールディングス,,,,,N
7378,アシロ,,,,,N
7412,アトム,,,,,N
7416,はるやまホールディングス,,,,,N
7421,カッパ・クリエイト,,,,,N
7453,良品計画,,,,,N
7475,アルビス,,,,,N
7494,コナカ,,,,,N
7502,プラザホールディングス,,,,,N
7506,ハウス　オブ　ローゼ,,,,,N
7516,コーナン商事,,,,,N
7522,ワタミ,,,,,N
7544,スリーエフ,,,,,N
7550,ゼンショーホールディングス,,,,,N
7554,幸楽苑,,,,,N
7561,ハークスレイ,,,,,N
7562,安楽亭,,,,,N
7581,サイゼリヤ,,,,,N
7596,魚力,,,,,N
7599,ＩＤＯＭ,,,,,N
7603,ジーイエット,,,,,N
7604,梅の花グループ,,,,,N
7605,,,,,,N
7611,ハイデイ日高,,,,,N
7615,京都きもの友禅ホールディングス,,,,,N
7616,コロワイド,,,,,N
7621,うかい,,,,,N
7636,ハンズマン,,,,,N
7643,ダイイチ,,,,,N
7646,ＰＬＡＮＴ,,,,,N
7678,あさくま,,,,,N
7682,浜木綿,,,,,N
7805,プリントネット,,,,,N
8011,三陽商会,,,,,N
8029,ルックホールディングス,,,,,N
8040,東京ソワール,,,,,N
8153,モスフードサービス,,,,,N
8163,ＳＲＳホールディングス,,,,,N
8165,千趣会,,,,,N
8173,上新電機,,,,,N
8174,日本瓦斯,,,,,N
8179,ロイヤルホールディングス,,,,,N
8198,マックスバリュ東海,,,,,N
8207,テンアライド,,,,,N
8209,フレンドリー,,,,,N
8214,ＡＯＫＩホールディングス,,,,,N
8227,しまむら,,,,,N
8230,はせがわ,,,,,N
8233,高島屋,,,,,N
8237,松屋,,,,,N
8242,エイチ・ツー・オー　リテイリング,,,,,N
8244,近鉄百貨店,,,,,N
8252,丸井グループ,,,,,N
8253,クレディセゾン,,,,,N
8254,さいか屋,,,,,N
8267,イオン,,,,,N
8278,フジ,,,,,N
8281,ゼビオホールディングス,,,,,N
8282,ケーズホールディングス,,,,,N
8289,Ｏｌｙｍｐｉｃグループ,,,,,N
8306,三菱ＵＦＪフィナンシャル・グループ,,,,,N
8316,三井住友フィナンシャルグループ,,,,,N
8508,Ｊトラスト,,,,,N
8511,日本証券金融,,,,,N
8515,アイフル,,,,,N
8566,リコーリース,,,,,N
8570,イオンフィナンシャルサービス,,,,,N
8572,アコム,,,,,N
8604,野村ホールディングス,,,,,N
8630,ＳＯＭＰＯホールディングス,,,,,N
8698,マネックスグループ,,,,,N
8704,トレイダーズホールディングス,,,,,N
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,,,,,N
8766,東京海上ホールディングス,,,,,N
8798,アドバンスクリエイト,,,,,N
8801,三井不動産,,,,,N
8848,レオパレス２１,,,,,N
9001,東武鉄道,,,,,N
9003,相鉄ホールディングス,,,,,N
9005,東急,,,,,N
9006,京浜急行電鉄,,,,,N
9008,京王電鉄,,,,,N
9009,京成電鉄,,,,,N
9020,東日本旅客鉄道,,,,,N
9021,西日本旅客鉄道,,,,,N
9024,西武ホールディングス,,,,,N
9031,西日本鉄道,,,,,N
9041,近鉄グループホールディングス,,,,,N
9042,阪急阪神ホールディングス,,,,,N
9044,南海電気鉄道,,,,,N
9045,京阪ホールディングス,,,,,N
9048,名古屋鉄道,,,,,N
9064,ヤマトホールディングス,,,,,N
9076,セイノーホールディングス,,,,,N
9142,九州旅客鉄道,,,,,N
9143,ＳＧホールディングス,,,,,N
9163,ナレルグループ,,,,,N
9166,ＧＥＮＤＡ,,,,,N
9201,日本航空,,,,,N
9202,ＡＮＡホールディングス,,,,,N
9204,スカイマーク,,,,,N
9206,スターフライヤー,,,,,N
9223,ＡＳＮＯＶＡ,,,,,N
9259,タカヨシホールディングス,,,,,N
9275,,,,,,N
9279,ギフトホールディングス,,,,,N
9327,イー・ロジット,,,,,N
9513,電源開発,,,,,N
9517,イーレックス,,,,,N
9543,静岡ガス,,,,,N
9603,エイチ・アイ・エス,,,,,N
9605,東映,,,,,N
9616,共立メンテナンス,,,,,N
9627,アインホールディングス,,,,,N
9706,日本空港ビルデング,,,,,N
9726,ＫＮＴ－ＣＴホールディングス,,,,,N
9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,,,,,N
9830,トラスコ中山,,,,,N
9831,ヤマダホールディングス,,,,,N
9842,アークランズ,,,,,N
9843,ニトリホールディングス,,,,,N
9850,グルメ杵屋,,,,,N
9854,愛眼,,,,,N
9876,コックス,,,,,N
9878,セキド,,,,,N
9887,松屋フーズホールディングス,,,,,N
9900,サガミホールディングス,,,,,N
9948,アークス,,,,,N
9962,ミスミグループ本社,,,,,N
9974,ベルク,,,,,N
9989,サンドラッグ,,,,,N
9994,やまや,,,,,N
