pair_id,leader_code,leader_name,follower_code,follower_name,pair_type,relationship,dependency_pct,via_code,via_name,source
D_4188_4187,4188,三菱ケミカルグループ,4187,大阪有機化学工業株式会社,direct,大阪有機化学工業株式会社の売上18.0%が三菱ケミカルグループに依存,18.0,,,edinet_yuho_2025
D_AAPL_4199,AAPL,Apple,4199,ワンダープラネット株式会社,direct,ワンダープラネット株式会社の売上25.1%がAppleに依存,25.1,,,edinet_yuho_2025
D_GOOGL_4199,GOOGL,Google,4199,ワンダープラネット株式会社,direct,ワンダープラネット株式会社の売上20.9%がGoogleに依存,20.9,,,edinet_yuho_2025
D_4478_4199,4478,フリー,4199,ワンダープラネット株式会社,direct,ワンダープラネット株式会社の売上12.2%がフリーに依存,12.2,,,edinet_yuho_2025
D_3436_4238,3436,SUMCO,4238,ミライアル株式会社,direct,ミライアル株式会社の売上11.6%がSUMCOに依存,11.6,,,edinet_yuho_2025
D_8002_4238,8002,丸紅,4238,ミライアル株式会社,direct,ミライアル株式会社の売上12.7%が丸紅に依存,12.7,,,edinet_yuho_2025
D_6098_4262,6098,リクルートホールディングス,4262,ニフティライフスタイル株式会社,direct,ニフティライフスタイル株式会社の売上45.0%がリクルートホールディングスに依存,45.0,,,edinet_yuho_2025
D_2120_4262,2120,ＬＩＦＵＬＬ,4262,ニフティライフスタイル株式会社,direct,ニフティライフスタイル株式会社の売上12.4%がＬＩＦＵＬＬに依存,12.4,,,edinet_yuho_2025
D_7974_4286,7974,任天堂,4286,株式会社ＣＬホールディングス,direct,株式会社ＣＬホールディングスの売上13.6%が任天堂に依存,13.6,,,edinet_yuho_2025
D_6779_4335,6779,日本電波工業,4335,IPSホールディングス株式会社,direct,IPSホールディングス株式会社の売上15.9%が日本電波工業に依存,15.9,,,edinet_yuho_2025
D_2338_4356,2338,クオンタムソリューションズ,4356,応用技術株式会社,direct,応用技術株式会社の売上11.6%がクオンタムソリューションズに依存,11.6,,,edinet_yuho_2025
D_AAPL_4382,AAPL,Apple,4382,HEROZ株式会社,direct,HEROZ株式会社の売上11.1%がAppleに依存,11.1,,,edinet_yuho_2025
D_7453_4403,7453,良品計画,4403,日油株式会社,direct,日油株式会社の売上13.5%が良品計画に依存,13.5,,,edinet_yuho_2025
D_6902_4420,6902,デンソー,4420,イーソル株式会社,direct,イーソル株式会社の売上23.0%がデンソーに依存,23.0,,,edinet_yuho_2025
D_6758_4420,6758,ソニーグループ,4420,イーソル株式会社,direct,イーソル株式会社の売上13.4%がソニーグループに依存,13.4,,,edinet_yuho_2025
D_9143_4449,9143,ＳＧホールディングス,4449,株式会社ギフティ,direct,株式会社ギフティの売上11.8%がＳＧホールディングスに依存,11.8,,,edinet_yuho_2025
